Variable,Description,Label,min_value,max_value,additional_value
PUFSVYMO_VS1,Survey Month,January,1.0,1.0,
PUFSVYMO_VS1,Survey Month,February,2.0,2.0,
PUFSVYMO_VS1,Survey Month,March,3.0,3.0,
PUFSVYMO_VS1,Survey Month,April,4.0,4.0,
PUFSVYMO_VS1,Survey Month,May,5.0,5.0,
PUFSVYMO_VS1,Survey Month,June,6.0,6.0,
PUFSVYMO_VS1,Survey Month,July,7.0,7.0,
PUFSVYMO_VS1,Survey Month,August,8.0,8.0,
PUFSVYMO_VS1,Survey Month,September,9.0,9.0,
PUFSVYMO_VS1,Survey Month,October,10.0,10.0,
PUFSVYMO_VS1,Survey Month,November,11.0,11.0,
PUFSVYMO_VS1,Survey Month,December,12.0,12.0,
PUFHHSIZE_VS1,Household Size,1,1.0,1.0,
PUFHHSIZE_VS1,Household Size,2,2.0,2.0,
PUFHHSIZE_VS1,Household Size,3,3.0,3.0,
PUFHHSIZE_VS1,Household Size,4,4.0,4.0,
PUFHHSIZE_VS1,Household Size,5,5.0,5.0,
PUFHHSIZE_VS1,Household Size,6,6.0,6.0,
PUFHHSIZE_VS1,Household Size,7,7.0,7.0,
PUFHHSIZE_VS1,Household Size,8,8.0,8.0,
PUFHHSIZE_VS1,Household Size,9,9.0,9.0,
PUFHHSIZE_VS1,Household Size,10,10.0,10.0,
PUFHHSIZE_VS1,Household Size,11,11.0,11.0,
PUFHHSIZE_VS1,Household Size,12,12.0,12.0,
PUFHHSIZE_VS1,Household Size,13,13.0,13.0,
PUFHHSIZE_VS1,Household Size,14,14.0,14.0,
PUFHHSIZE_VS1,Household Size,15,15.0,15.0,
PUFHHSIZE_VS1,Household Size,16,16.0,16.0,
PUFHHSIZE_VS1,Household Size,17,17.0,17.0,
PUFHHSIZE_VS1,Household Size,18,18.0,18.0,
PUFHHSIZE_VS1,Household Size,19,19.0,19.0,
PUFHHSIZE_VS1,Household Size,20,20.0,20.0,
PUFHHSIZE_VS1,Household Size,21,21.0,21.0,
PUFHHSIZE_VS1,Household Size,22,22.0,22.0,
PUFHHSIZE_VS1,Household Size,23,23.0,23.0,
PUFHHSIZE_VS1,Household Size,24,24.0,24.0,
PUFHHSIZE_VS1,Household Size,25,25.0,25.0,
PUFHHSIZE_VS1,Household Size,26,26.0,26.0,
PUFHHSIZE_VS1,Household Size,27,27.0,27.0,
PUFHHSIZE_VS1,Household Size,28,28.0,28.0,
PUFHHSIZE_VS1,Household Size,29,29.0,29.0,
PUFHHSIZE_VS1,Household Size,30,30.0,30.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,01 - Head,1.0,1.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,02 - Spouse,2.0,2.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,03 - Son,3.0,3.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,04 - Daughter,4.0,4.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,05 - Stepson,5.0,5.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,06 - Stepdaughter,6.0,6.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,07 - Son-in-Law,7.0,7.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,08 - Daughter-in-Law,8.0,8.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,09 - Grandson,9.0,9.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,10 - Granddaughter,10.0,10.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,11 - Father,11.0,11.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,12 - Mother,12.0,12.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,13 - Father-in-Law,13.0,13.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,14 - Mother-in-Law,14.0,14.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,15 - Brother,15.0,15.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,16 - Sister,16.0,16.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,17 - Brother-in-Law,17.0,17.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,18 - Sister-in-Law,18.0,18.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,19 - Uncle,19.0,19.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,20 - Aunt,20.0,20.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,21 - Nephew,21.0,21.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,22 - Niece,22.0,22.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,"23 - Other Relative, Specify",23.0,23.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,24 - Boarder,24.0,24.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,25 - Domestic Helper,25.0,25.0,
PUFC03_REL_VS1,C03-Relationship to Household Head,"26 - Nonrelative, Specify",26.0,26.0,
PUFC04_SEX_VS1,C04-Sex,Male,1.0,1.0,
PUFC04_SEX_VS1,C04-Sex,Female,2.0,2.0,
PUFC05_AGE_VS1,Age Group,00 - 14,0.0,14.0,
PUFC05_AGE_VS1,Age Group,15 - 24,15.0,24.0,
PUFC05_AGE_VS1,Age Group,25 - 34,25.0,34.0,
PUFC05_AGE_VS1,Age Group,35 - 44,35.0,44.0,
PUFC05_AGE_VS1,Age Group,45 - 54,45.0,54.0,
PUFC05_AGE_VS1,Age Group,55 - 64,55.0,64.0,
PUFC05_AGE_VS1,Age Group,65 and Over,65.0,99.0,
PUFC06_MSTAT_VS1,C06-Marital Status,01 - Single/Never Married,1.0,1.0,
PUFC06_MSTAT_VS1,C06-Marital Status,02 - Married,2.0,2.0,
PUFC06_MSTAT_VS1,C06-Marital Status,03 - Common-Law/Live-In,3.0,3.0,
PUFC06_MSTAT_VS1,C06-Marital Status,04 - Widowed,4.0,4.0,
PUFC06_MSTAT_VS1,C06-Marital Status,05 - Divorced,5.0,5.0,
PUFC06_MSTAT_VS1,C06-Marital Status,06 - Separated,6.0,6.0,
PUFC06_MSTAT_VS1,C06-Marital Status,07 - Annulled,7.0,7.0,
PUFC06_MSTAT_VS1,C06-Marital Status,08 - Not Reported,8.0,8.0,
PUFC07_GRADE_VS2,Highest Grade Completed,No grade completed,0.0,1000.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Elementary Undergraduate,10011.0,10015.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Elementary Graduate,10016.0,10018.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Junior High School Undergraduate,24011.0,24013.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Junior High School Completer,24015.0,24015.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Senior High School Undergraduate,34011.0,34011.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Senior High School Graduate,34013.0,34013.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Post Secondary Undergraduate,40001.0,40003.0,
PUFC07_GRADE_VS2,Highest Grade Completed,Post Secondary Graduate,40011.0,49999.0,
PUFC07_GRADE_VS2,Highest Grade Completed,College Undergraduate,60001.0,60006.0,
PUFC07_GRADE_VS2,Highest Grade Completed,College Graduate,60000.0,60000.0,
PUFC08_CONWR_VS1,C08-Overseas Filipino Indicator,Overseas Contract Workers,1.0,1.0,
PUFC08_CONWR_VS1,C08-Overseas Filipino Indicator,Workers other than OCW,2.0,2.0,
PUFC08_CONWR_VS1,C08-Overseas Filipino Indicator,"Employees in Philippine Embassy, Consulates & other Missions",3.0,3.0,
PUFC08_CONWR_VS1,C08-Overseas Filipino Indicator,Students abroad/Tourists,4.0,4.0,
PUFC08_CONWR_VS1,C08-Overseas Filipino Indicator,Residents,5.0,5.0,
PUFC08_CONWR_VS1,C08-Overseas Filipino Indicator,Less than 15 Years Old,,,NotAppl
PUFC09_WORK_VS1,C09-Work Indicator,yes,1.0,1.0,
PUFC09_WORK_VS1,C09-Work Indicator,no,2.0,2.0,
PUFC09A_WORK_VS1,C09A-Work Arrangement,Working in the default place of work except home,1.0,1.0,
PUFC09A_WORK_VS1,C09A-Work Arrangement,Telecommuting/work from home,2.0,2.0,
PUFC09A_WORK_VS1,C09A-Work Arrangement,Home-based work,3.0,3.0,
PUFC09A_WORK_VS1,C09A-Work Arrangement,On job rotation,4.0,4.0,
PUFC09A_WORK_VS1,C09A-Work Arrangement,On a mixed mode working arrangement,5.0,5.0,
PUFC09A_WORK_VS1,C09A-Work Arrangement,On reduced hours,6.0,6.0,
PUFC10_JOB_VS1,C10-Job Indicator,Yes,1.0,1.0,
PUFC10_JOB_VS1,C10-Job Indicator,No,2.0,2.0,
PUFC10_JOB_VS1,C10-Job Indicator,"No, Temporarily",3.0,3.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0101   ABRA - Bangued (Capital),101.0,101.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0102   ABRA - Boliney,102.0,102.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0103   ABRA - Bucay,103.0,103.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0104   ABRA - Bucloc,104.0,104.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0105   ABRA - Daguioman,105.0,105.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0106   ABRA - Danglas,106.0,106.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0107   ABRA - Dolores,107.0,107.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0108   ABRA - La Paz,108.0,108.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0109   ABRA - Lacub,109.0,109.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0110   ABRA - Lagangilang,110.0,110.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0111   ABRA - Lagayan,111.0,111.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0112   ABRA - Langiden,112.0,112.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",0113   ABRA - Licuan-Baay (Licuan),113.0,113.0,
